,Name,Year,Level,Genre,Score,Director,Votes,Gross_in_Million
49,How the Grinch Stole Christmas,2000,PG,Comedy Family Fantasy,6.1,Ron Howard,171337,260.044825
50,Dumbo,2019,Not Rated,Family Fantasy,0.0,Tim Burton,0,0.0
51,The Clovehitch Killer,2018,Not Rated,Drama Horror Mystery,6.4,Duncan Skiles,2209,0.008208
52,Searching,2018,PG-13,Drama Mystery Thriller,7.8,Aneesh Chaganty,45647,26.020957
53,Alpha,2018,PG-13,Adventure Drama Family,6.8,Albert Hughes,25716,35.851379
54,Harry Potter and the Sorcerer's Stone,2001,PG,Adventure Family Fantasy,7.6,Chris Columbus,546277,317.57555
55,Thugs of Hindostan,2018,Not Rated,Action Adventure,3.5,Vijay Krishna Acharya,10579,1.449848
56,Spider-Man: Into the Spider-Verse,2018,PG,Animation Action Adventure,0.0,Bob Persichetti,0,0.0
57,Creed,2015,PG-13,Drama Sport,7.6,Ryan Coogler,206596,109.767581
58,Love Actually,2003,R,Comedy Drama Romance,7.6,Richard Curtis,368727,59.696144
59,Aladdin,2019,Not Rated,Adventure Family Fantasy,0.0,Guy Ritchie,0,0.0
60,Joker,2019,Not Rated,Crime Drama Thriller,0.0,Todd Phillips,0,0.0
61,The Hate U Give,2018,PG-13,Crime Drama,6.9,George Tillman Jr.,6893,29.016139
62,The Mule,2018,R,Crime Drama Mystery,0.0,Clint Eastwood,0,0.0
63,Untitled Avengers Movie,2019,Not Rated,Action Adventure Fantasy,0.0,Anthony Russo,0,0.0
64,Boy Erased,2018,R,Biography Drama,7.2,Joel Edgerton,3059,4.992437
65,Ant-Man and the Wasp,2018,PG-13,Action Adventure Comedy,7.2,Peyton Reed,155804,216.64874
66,Ocean's Eight,2018,PG-13,Action Comedy Crime,6.2,Gary Ross,106771,139.377762
67,Speed Kills,2018,R,Crime Drama Thriller,3.8,Jodi Scurfield,562,0.0
68,Mamma Mia! Here We Go Again,2018,PG-13,Comedy Musical Romance,6.9,Ol Parker,44499,120.634935
69,Solo: A Star Wars Story,2018,PG-13,Action Adventure Fantasy,7.0,Ron Howard,175856,213.767512
70,Christopher Robin,2018,PG,Animation Adventure Comedy,7.5,Marc Forster,30664,99.215042
71,Black Panther,2018,PG-13,Action Adventure Sci-Fi,7.4,Ryan Coogler,418654,700.059566
72,Beautiful Boy,2018,R,Biography Drama,7.3,Felix van Groeningen,4578,7.088168
73,Wreck-It Ralph,2012,PG,Animation Adventure Comedy,7.7,Rich Moore,322999,189.422889
74,Papillon,2017,R,Crime Drama Mystery,7.1,Michael Noer,15079,2.335896
